date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:44:05	1734241/1734241	---M--	200	added ('OK')	application/pdf	etag:%221a7661-5cf5167d63d42%22	http://www.ggpa.cteguj.in/uploads/2019/2__27012021Scan_20210128_134603.pdf	C:/Users/HELI%20DETROJA/Desktop/clg_temp/www.ggpa.cteguj.in/uploads/2019/2__27012021Scan_20210128_134603.pdf	(from http://www.ggpa.cteguj.in/news)
15:46:32	904999/904999	---M--	200	added ('OK')	application/pdf	etag:%22dcf27-5cf513c96e6fd%22	http://www.ggpa.cteguj.in/uploads/2019/17__30092020CIRCULAR_469852.pdf	C:/Users/HELI%20DETROJA/Desktop/clg_temp/www.ggpa.cteguj.in/uploads/2019/17__30092020CIRCULAR_469852.pdf	(from http://www.ggpa.cteguj.in/news)
15:47:46	1511013/1511013	---M--	200	added ('OK')	application/pdf	etag:%22170e65-5cf514ec8f4f2%22	http://www.ggpa.cteguj.in/uploads/2019/19_12112020Diploma_Exam_Form_W2020_114880.pdf	C:/Users/HELI%20DETROJA/Desktop/clg_temp/www.ggpa.cteguj.in/uploads/2019/19_12112020Diploma_Exam_Form_W2020_114880.pdf	(from http://www.ggpa.cteguj.in/news)
15:48:15	541856/541856	---M--	200	added ('OK')	application/pdf	etag:%22844a0-5add61be3d776%22	http://www.ggpa.cteguj.in/uploads/2019/Academic_Calender-2020-21-Odd_term.pdf	C:/Users/HELI%20DETROJA/Desktop/clg_temp/www.ggpa.cteguj.in/uploads/2019/Academic_Calender-2020-21-Odd_term.pdf	(from http://www.ggpa.cteguj.in/news)
15:48:22	4868708/4868708	---M--	200	added ('OK')	application/pdf	etag:%224a4a64-5b17851fd0edf%22	http://www.ggpa.cteguj.in/uploads/2019/medical_from.pdf	C:/Users/HELI%20DETROJA/Desktop/clg_temp/www.ggpa.cteguj.in/uploads/2019/medical_from.pdf	(from http://www.ggpa.cteguj.in/links/)
15:49:21	394904/394904	---M--	200	added ('OK')	application/pdf	etag:%2260698-5cf50fc697675%22	http://www.ggpa.cteguj.in/uploads/2019/13___27062020Circular_UG_Diploma_Remedial_STE_998429.pdf	C:/Users/HELI%20DETROJA/Desktop/clg_temp/www.ggpa.cteguj.in/uploads/2019/13___27062020Circular_UG_Diploma_Remedial_STE_998429.pdf	(from http://www.ggpa.cteguj.in/news)
15:49:42	704193/704193	---M--	200	added ('OK')	application/pdf	etag:%22abec1-5ac1fdd99b611%22	http://www.ggpa.cteguj.in/uploads/2019/Guidelines_for_Online_Summer_2020_Exam_666756.pdf	C:/Users/HELI%20DETROJA/Desktop/clg_temp/www.ggpa.cteguj.in/uploads/2019/Guidelines_for_Online_Summer_2020_Exam_666756.pdf	(from http://www.ggpa.cteguj.in/news)
15:50:35	455928/455928	---M--	200	added ('OK')	application/pdf	etag:%226f4f8-5cf50e1a6623b%22	http://www.ggpa.cteguj.in/uploads/2019/11__30052020Revised_Circular_MIV_marks_entry_SU20_-_219517.pdf	C:/Users/HELI%20DETROJA/Desktop/clg_temp/www.ggpa.cteguj.in/uploads/2019/11__30052020Revised_Circular_MIV_marks_entry_SU20_-_219517.pdf	(from http://www.ggpa.cteguj.in/news)
15:51:46	431533/431533	---M--	200	added ('OK')	application/pdf	etag:%22695ad-5cf50cca1325b%22	http://www.ggpa.cteguj.in/uploads/2019/09__11052020Circular_Diploma_Mock_Test_587327.pdf	C:/Users/HELI%20DETROJA/Desktop/clg_temp/www.ggpa.cteguj.in/uploads/2019/09__11052020Circular_Diploma_Mock_Test_587327.pdf	(from http://www.ggpa.cteguj.in/news)
15:52:07	126270/126270	---M--	200	added ('OK')	application/pdf	etag:%221ed3e-5cf50c7c27c7e%22	http://www.ggpa.cteguj.in/uploads/2019/8__08052020Extension_of_Summer_vacation_308623.pdf	C:/Users/HELI%20DETROJA/Desktop/clg_temp/www.ggpa.cteguj.in/uploads/2019/8__08052020Extension_of_Summer_vacation_308623.pdf	(from http://www.ggpa.cteguj.in/news)
